CMU subject-16 transition-distance matrix (--inspect-transition, native cm^2, recut cycles)
src\tgt 16_31   16_16   16_15   16_22   16_21   16_36   16_35   16_56   16_45   16_55   
16_31   -       89      1477    1049    15      2297    1857    1551    2643    2684    
16_16   19      -       12      77      229     1729    1606    1784    1577    1332    
16_15   11      185     -       165     163     2036    1393    1593    2006    1888    
16_22   14      220     50      -       202     2155    1510    1512    2060    1834    
16_21   79      77      46      15      -       1472    1628    1342    1274    998     
16_36   2017    1541    1602    1634    2596    -       109     1851    270     1097    
16_35   1113    1710    2041    1850    1657    217     -       872     1424    2125    
16_56   1834    1195    1224    1218    2307    586     557     -       293     279     
16_45   1478    1828    1856    1925    2025    893     67      1592    -       1048    
16_55   1283    1747    1768    1839    1534    801     335     623     890     -       
